num_households,mean_income,percent_employed,percent_bachelors,percent_graduate,state
2016448,100785,58.6,28.8,11.3,Alabama
274574,124663,67,30.6,11.3,Alaska
2850377,116717,60.7,33,12.5,Arizona
1216207,92935,57.8,25.4,9.7,Arkansas
13550586,147628,63.9,37,14.4,California
2384584,142387,68.9,45.9,17.1,Colorado
1433635,157696,65.7,41.9,18.9,Connecticut
402334,124756,62.7,36.5,15.5,Delaware
8826394,115717,59.6,34.3,12.9,Florida
4092467,116323,63.9,34.7,14,Georgia
494827,135028,63.5,35.4,13.3,Hawaii
717151,108727,62.4,32.3,10.8,Idaho
5056360,129493,65,37.7,15.2,Illinois
2726489,106944,63.9,29.6,10.6,Indiana
1330995,114205,66.6,32.3,10.8,Iowa
1175294,113962,65.7,35.6,13.7,Kansas
1828680,99631,59.9,27.9,11.4,Kentucky
1816902,96505,59.4,27.1,10.2,Louisiana
605338,114321,61.7,36.1,13.8,Maine
2375984,148486,67,43.8,20.6,Maryland
2797776,162406,66.8,46.6,21.3,Massachusetts
4089794,111255,61.6,32.1,12.6,Michigan
2322190,133458,68,39.1,13.7,Minnesota
1148340,87442,57.1,24.8,9.6,Mississippi
2521832,108019,62.8,32.2,12.5,Missouri
464072,109448,63.5,34.6,11.7,Montana
803157,116618,68.3,34.7,12.1,Nebraska
1198356,112544,63.3,27,9.5,Nevada
557220,140757,65.8,41.3,16.7,New Hampshire
3516978,157601,66.2,43.5,17.6,New Jersey
848218,97014,58.5,30.5,13.5,New Mexico
7774308,141334,62.8,40,17.7,New York
4299266,112123,62.8,35.9,13.2,North Carolina
331481,125399,68.7,31.8,9.5,North Dakota
4878206,110719,63.1,32,12.6,Ohio
1573180,98937,61,28.5,9.9,Oklahoma
1726340,123364,62.4,36.3,14.1,Oregon
5294065,121871,62.8,35.1,14.3,Pennsylvania
446688,133207,64.6,39.6,15.7,Rhode Island
2136080,105495,60.7,32.6,12.8,South Carolina
368300,110227,66.9,31.6,9.9,South Dakota
2846684,105555,62.4,31.1,11.4,Tennessee
11087708,117182,65.5,33.9,12.3,Texas
1129660,127229,70,37.9,13.2,Utah
277090,117603,65,44.2,19.7,Vermont
3380607,141078,65.3,42.2,18.6,Virginia
3079953,146344,64.7,39.5,15.7,Washington
736341,89306,52.8,24.8,9.8,West Virginia
2491121,114906,65.1,33.2,11.6,Wisconsin
243321,106006,65.8,29.6,11.6,Wyoming
,,,,,